제목,저자_상세,초록,키워드_상세,저자,저널명,발행기관,권,호,시작페이지,종료페이지,발행년도,주제분야,인용횟수,논문ID
문화유산 데이터 분석 및 정보 시각화 방안 연구 -국립중앙박물관 e뮤지엄 데이터를 중심으로-,김보람; 이종욱,"본 연구는 문화유산의 디지털 대전환 시대에서 문화유산의 정보를 관리하고 활용하는 방안을 분석하였다. 한국콘텐츠진흥원은 문화기술연구개발사업 중 하나로 ‘실감형 문화유산 체험을 위한 애셋 기반 지능형 큐레이션 및 서비스 운영기술 개발(CHIC 프로젝트)’을 한국전자통신연구원과 함께 진행하고 있으며, 국립중앙박물관의 e뮤지엄 데이터를 활용하여 지능형 큐레이션 기술을 개발하고 있다. 이 논문은 해당 과제를 분석하고, 과제 일부분으로 한국전통문화대학교에서 진행한 데이터의 속성 및 관계 분석과 시각화를 중심으로 기술하였다.
먼저, 문화유산 정보의 관리 방향성을 확인하기 위해 2장에서는 디지털 큐레이션의 정의와 문화유산 온톨로지를 연구한다. 특히, 해당 연구는 대표 문화유산 온톨로지인 CIDOC CRM과 CIDOC CRMdig을 중심으로 하였다. 3장에서는 CHIC 프로젝트를 기술하였으며, 지능형 분석/검색/가시화 기술 개발의 일환으로 한국전통문화대학교에서 연구한 문화유산 정보 데이터의 속성과 관계 정의서를 기술하였다. 해당 속성과 관계는 문화유산 정보 모델을 위한 온톨로지를 참고하여 개발되었으며, 국립중앙박물관의 e뮤지엄 유물 설명 데이터를 분석 및 분류하는 데 사용되었다.
이어서, 4장에서는 e뮤지엄 데이터에 속성과 관계를 부여하기 위한 작업 절차가 진행되는 방식을 2장에서 소개된 CIDOC CRM에 적용하여 시각화하였고, 태깅을 위해 개발된 어노테이션 툴의 작동 방식을 소개하였다. 이 과정을 통해 작업 절차를 투명화하였고, 데이터의 신뢰성을 향상시키는 데 기여하였다. 그리고 한국전통문화대학교에서 정의된 속성과 관계로 분류된 e뮤지엄 데이터의 결과를 간략히 분석하였고, 온톨로지 데이터 관리 도구인 프로테제(Protégé)를 통해 일부 데이터를 시각화하였다. 또한, 시각화 예제로 향후 시각화의 연구 방향성을 제안하였다.
해당 연구는 Sarah Higgins가 2008년에 주장한 디지털 큐레이션의 생애주기 중 데이터의 접근과 사용, 재사용(access, use & reuse)의 활동을 국립중앙박물관 e뮤지엄 데이터를 통해 실현한다고 할 수 있다. 따라서 본 연구는 국립중앙박물관 e뮤지엄 문화유산 데이터를 관리하고 재활용하여 최종사용자에게 정보를 제공하는 일련의 과정을 객관적으로 서술함에 의의가 있다.",디지털 큐레이션; 디지털 문화유산; 문화유산 정보 시각화; 문화유산 온톨로지,김보람,한국전통문화연구,전통문화연구소,,29,115,153,2022,학제간연구,5,ART002842280
한국불교 기록문화유산의 디지털 활용 방안 연구,"박인석; 서소리; 서소리
							

							2","4세기 후반 한반도로 전래된 불교는 현재까지 1,700여 년의 세월 동안 다양한 불교기록문화유산(이하 ‘기록유산’으로 약칭)을 남겼다. 이러한 기록유산에 대해서는 현재 기본적인 조사작업과 더불어 ① 경판 혹은 경판의 인출본 촬영, ② 원문 DB 구축, ③ 한글번역 등의 후속 작업이 진행되고 있다. 다만 이들 자료에 대한 디지털 서비스는 기본적으로 원전 자료의 가치를 충실히 보존하는 방식의 아카이브 구축에 초점이 맞춰져 있으므로, 아직 본격적인 디지털 전환 혹은 활용의 단계까지는 이르지 못하고 있다. 이와 관련하여 본 연구에서는 먼저 한국에서 진행된 기록유산에 대한 DB구축 현황을먼저 소개하고자 한다. 다음으로는 『한국불교전서』에 수록되어 있는 조선시대 승려들의문집을 대상으로 ‘고승 로드: 조선시대 승려문집의 디지털 큐레이션 연구 –공간을 중심으로(이하 ‘고승 로드’로 약칭)’라는 이름으로 진행되는 연구사업의 개요와 방향을 소개하고, 이와 같은 연구의 방법론이 기록유산을 대상으로 한 디지털 기반의 연구 방법으로 확장될 수 있는 방안을 모색해보고자 한다.
‘고승 로드’ 연구사업은 조선시대 승려문집 가운데 3종의 문집, 곧 『풍계집(楓溪集)』 (17세기), 『설담집(雪潭集)』(18세기), 『범해선사유고(梵海禪師遺稿)』(19세기)를 대상으로 ‘승려문집에 관한 지식의 네트워크’를 구현하고, 이를 통해 승려문집을 탐구하고 활용하기 위한 디지털 미디어 기반의 새로운 연구 방법을 제안하는 것을 목표로 삼는다. ‘고승 로드’ 연구사업은 데이터를 기반으로 한 인문 지식의 표현과 공유의 가능성을 제시할수 있을 것이며, 향후 승려문집과 대장경 등을 비롯한 다양한 한국불교의 기록유산의 디지털 활용을 위한 사업으로 그 규모가 확장될 수 있을 것이다.",한국불교; 기록문화유산; 고승 로드; 디지털 전환; 디지털 큐레이션,박인석,남도문화연구,남도문화연구소,,54,7,41,2025,기타인문학,0,ART003202475
함께 만드는 미래: 디지털 융합과 문화유산기관의 협력,이소연,"도서관, 기록관과 박물관은 인류의 문화유산을 수집하여 정리함으로써 당대의 인류가 이용할 수 있도록 지원하고, 잘 보관하였다가 후대의 인류에게 전승한다는 공통의 사명을 갖고 있다. 이들 문화유산기관은 간행물과 기록물, 3차원 객체 등 상이한 컬렉션 수집의 전통을 기반으로 분화와 전문화를 거듭하며 발전하여 왔다. 그러나 디지털 환경은 이러한 구분이 더 이상 큰 의미를 갖지 않는 시대를 예고하고 있다. 이 연구는 문헌연구와 집단면담을 통해 도서관, 기록관과 박물관의 차이점과 공통점을 고찰함으로써 우리나라의 문화유산기관 간 협력의 필요성과 가능성을 밝히고자 하는 목적으로 수행되었다. 디지털 큐레이션과 디지털 보존 등 원래의 사명을 달성하기 위해서는 반드시 수행해야 할 새로운 책무에 대해서도 논의하였다.",문화유산기관; 디지털 융합; 디지털 큐레이션; 디지털 보존; 도서관; 기록관; 박물관,이소연,정보관리학회지,한국정보관리학회,29,3,235,256,2012,문헌정보학,17,ART001702516
문화유산 콘텐츠 온라인 서비스에 관한 연구,박옥남,"문화유산 원형의 콘텐츠화 및 확산을 위하여 온라인 서비스는 다양한 연구에서 강조됐다. 본 연구는 문화유산 콘텐츠 온라인 서비스에 대한 연구를 통해 콘텐츠 조직 및 정보서비스 현황을 조사하고 개선 방향을 제시하는 것을 목적으로 한다. 이를 위하여 관련 선행연구 및 국내외 문화유산 기관 온라인 서비스 사례조사, 전문가 면담을 실시하였으며, 콘텐츠 범위 및 종류, 검색서비스, 부가서비스, 확장서비스를 바탕으로 연구를 수행하였다. 시사점으로 콘텐츠는 문화유산 콘텐츠 통합제공, 고품질 콘텐츠 및 콘텐츠의 다양화, 검색서비스는 콘텐츠 계층구조를 통한 검색기능의 유연화, 통제어휘 및 전거데이터 구축을 통한 접근점 확대, 검색방법의 다각화 방안을 제시하였다. 부가 및 확산서비스로는 연구 및 교육콘텐츠의 제공, 큐레이션 기반의 이용자 맞춤형 서비스, 데이터 공개 및 공유, 이용자 참여확대서비스를 제시하였다.",문화유산; 콘텐츠; 온라인서비스; 정보서비스,박옥남,한국기록관리학회지,한국기록관리학회,19,1,195,224,2019,기록관리/보존,7,ART002442721
전주 문화재 ‘야행’ 프로그램의 현황과 추진전략,김정배,"이 글에서는 문화재청이 2016년에 기획하여 추진하고 있는 문화재‘야행’ 프로그램의 추진배경과 목적을 살펴보았다. 또한, 2018년 5월 전주에서 추진한 전주 문화재 ‘야행’ 프로그램의 수행현황을 분석하여 문제점을 도출하고 그에 대한 해결 방안을 모색하였다.
문화재 ‘야행’ 프로그램의 가장 중요한 목적은 지역경제 활성화와 지역에 소재한 문화재의 콘텐츠 가치 확산에 있다. 이를 위해 문화적 혹은 관광 산업적 인프라가 갖추어진 서울 중심 축제에서 벗어나 지역분산적 축제를 기획하는 것은 여러모로 의미가 있다. 궁극적으로 지역축제의 분산은 총체적인 한류 확산에 기여할 것이기 때문이다. 2018년 5월에 시행한 전주 문화재 ‘야행’ 프로그램 또한 본 축제를 통해 전주만의 독특한 전통 문화유산의 활용가치를 더욱 높일 것으로 분석된다.
이 글은 전주 문화재 ‘야행’ 프로그램의 활성화를 위해 ‘지역 문화의야간축제가 나아갈 방향성’을 제시하고 ‘유・무형문화유산과 문화콘텐츠의 개발 가능성’을 전망한다. 아울러 전주 문화재 ‘야행’에서 실제 진행된 문화프로그램을 보다 구체적으로 살펴봄으로써 그 전략과 앞으로의 방향성을 비판적으로 점검한다. 이를 통해 전주 지역의 전통 문화유산의 재발견과 지역경제 활성화라는 본연의 가치를 되새겨 보고자 한다.",전주 문화재; 야행; 지역경제; 전통문화유산; 스토리텔링; 큐레이션,김정배,열린정신 인문학 연구,인문학연구소,19,3,219,242,2018,기타인문학,11,ART002430400
"AI 기술의 박물관ㆍ미술관 적용: 활용 현황과 한계점, 그리고 지속 가능한 발전 방향",김시내,"본 연구는 인공지능(AI) 기술이 박물관 및 미술관에 어떻게 적용되고 있으며, 이러한 기술 활용 현황 및 적용 방식, 한계점, 그리고 지속 가능한 발전 방향을 다각도로 분석하는 것을 목적으로 한다. 특히 AI가 전시 기획, 교육 프로그램, 연구 및 보존 활동 등 박물관 운영 전반에 걸쳐 어떤 방식으로 통합되고 있는지를 살펴보고, 이러한 적용이 박물관과 관람객 경험에 어떠한 변화를 가져오고 있는지를 탐색하였다. 본 연구는 문헌 조사와 국내외 대표 사례 분석, 그리고 2015년부터 2025년까지 발표된 AI 관련 논문을 대상으로 한 텍스트 마이닝 분석(TF-IDF 및 LDA 토픽 모델링)을 혼합한 연구 방법을 통해 이루어졌다. 연구 결과, 박물관의 전시, 교육, 보존 기능에 걸쳐 AI는 각각 운영 모델의 재구성, 교육적 기능의 확장, 보존 방법론의 고도화 등 구체적 적용 방식을 통해 박물관의 전통적 역할을 재편하고 있는 것으로 나타났다. 그러나 기술의 급속한 도입은 큐레이터의 역할 변화, 알고리즘 편향 문제, 데이터 접근성 불균형 등 여러 도전과제도 동반하고 있음을 확인하였다. 이에 본 연구는 박물관ㆍ미술관에서 AI 기술이 장기적으로 지속 가능하고 윤리적인 방향으로 활용되기 위한 전략으로 인간-AI 협업 기반의 전시ㆍ교육 설계, 비판적 디지털 리터러시의 교육 강화, 문화다양성과 포용성을 고려한 기술 운영 원칙의 수립을 제안한다.",인공지능; 박물관 교육; 문화유산; 디지털 큐레이션; 관람객 경험; 인간-AI 협업,김시내,미술과 교육,한국국제미술교육학회,26,2,21,60,2025,미술이론,0,ART003203253
대학 동영상 지식 콘텐츠 큐레이션을 위한 전략적 접근,강은진,"본 연구는 대학이 지식 큐레이션을 중심으로 학문적 영상 콘텐츠를 효과적으로 관리하고 활용할 수 있는 전략적 방안 모색을 목표로 한다. 먼저 디지털 시대의 정보 과잉 문제와 지식 큐레이션의 필요성을 검토하고, 국내외 대학들의 영상 콘텐츠 통합 플랫폼 운영 사례를 분석함으로써 현황과 문제점을 도출하였다. 국내 대학의 경우 공개 강좌를 중심으로 영상 콘텐츠가 축적되고 있으나 콘텐츠가 분산 관리되고 통합적 운영이 이루어지지 않는 한계가 확인되었다. 반면 MIT OCW, 옥스포드 팟캐스트, FAU TV 등의 해외 사례는 대학이 통합적 아카이빙과 콘텐츠 큐레이션을 기반으로 동영상 학술 콘텐츠를 보다 체계적으로 관리하고 개방하는 방식의 가능성을 보여준다. 특히 본 연구에서는 대학의 동영상 콘텐츠 플랫폼이 강의 아카이브를 넘어 ‘가치 중심적 큐레이션’을 수행해야 함을 강조하였다. 대학이 자동화 큐레이션과 휴먼 큐레이션을 융합한 하이브리드 큐레이션 모델을 적용할 경우 방대한 학술 영상을 보다 체계적으로 정리하고 활용성을 극대화할 수 있다. 또한 대학 간 컨소시엄 및 글로벌 연계를 통해 공동 플랫폼을 운영하는 방식도 고려될 필요가 있다. 이러한 전략적 접근을 통해 대학은 지식 플랫폼 시대에 학문적 영상 콘텐츠의 체계적 관리와 공유를 주도하는 글로벌 허브로 기능할 수 있을 것이다.",학술 콘텐츠; 온라인 교육; 동영상 학술 플랫폼; 지식 큐레이션; 학술 큐레이터,강은진,한국콘텐츠학회 논문지,한국콘텐츠학회,25,4,611,625,2025,학제간연구,0,ART003196351
디자인씽킹을 활용한 박물관의 AI 기반 전시 큐레이션 서비스 혁신 연구,이보람,"디지털 전환 시대에 박물관은 단순한 유물 보관소에서 관람객과의 상호작용을 통해 의미를 창출하는 공간으로 변화하고 있다. 이에 따라 인공지능(AI)을 활용한 박물관 전시 큐레이션 기술이 데이터 기반의 맞춤형 전시 경험을 제공하는 혁신적 방안으로 주목받고 있다. 본 연구는 디자인씽킹 방법론을 적용하여 AI 기반 큐레이션 모델을 분석하고, 이를 통해 박물관 전시 기획과 관람객 경험을 혁신하는 방안을 탐색하였다. 연구 방법으로 문헌 연구와 사례 연구를 실시하여 AI 기반 큐레이션과 전통적 큐레이션 방식의 차별점을 파악하고, 디자인씽킹이 이러한 한계를 어떻게 보완하는지 살펴보았다. 연구 결과, AI 기반 큐레이션은 데이터 분석을 통한 자동화된 맞춤형 전시 경험을 구현하여 관람객 몰입도와 참여도를 높일 수 있었지만 감성적 교감이 부족하고 관람객의 실시간 피드백을 전시 기획에 반영하기 어렵다는 한계를 보였다. 디자인씽킹 기반 큐레이션은 관람객 중심의 창의적 전시 기획을 가능하게 함으로써 관람객과의 공감대를 강화했지만, 대규모 박물관에 적용하는 데 제약이 있었다. 이러한 분석을 토대로 본 연구에서는 AI와 디자인씽킹을 결합한 통합 큐레이션 모델을 제안하였다. 이 통합 모델은 데이터 기반 개인화 서비스와 인간 중심적 창의성의 강점을 조화시켜 두 접근법의 한계를 보완하였다. 그 결과 박물관 전시에서 관람객 몰입도와 상호작용성을 높일 수 있는 가능성을 확인하였다.",AI 큐레이션; 디자인씽킹; 박물관 전시 기법; 디지털 큐레이션; 관람객 경험,이보람,비즈니스융복합연구,한국비즈니스학회,10,2,231,240,2025,과학기술학,0,ART003203738
큐레이션을 활용한 문학 교육 연구 -리터러시 신장과 문학 독자 형성을 중심으로-,장서란,"본 연구는 큐레이션을 활용한 문학 교육 방안을 제시함으로써 리터러시 신장과 문학 독자 형성에 기여하고자 한다.
큐레이션은 텍스트를 선별하여 의미를 조직하고 공유하는 과정을 포함한다.
본 연구는 큐레이션의 이러한 특성에 주목하여 학습자가 문학을 해석하고 능동적으로 조직할 수 있는 방안으로서 문학-큐레이션의 교육적 가능성을 탐구하였다. 이를 통해 학습자는 단순한 수신자(독자)에서 벗어나 발신자(큐레이터)로서문학의 가치를 창출하고 전달하는 역할을 수행하게 된다. 나아가 큐레이션을 통해 문학의 가치를 공유하고 확산함으로써 문학 독자로서의 정체성을 강화하고독자 양성의 선순환을 구축할 수 있다.
이를 위해 연구자는 학습자들이 에세이와 마인드맵을 활용하여 자신의 취향을탐색하고 큐레이션을 구성하도록 하였다. 이를 통해 학습자들은 텍스트 이해를 심화하고, 복합양식적 접근을 활용한 효과적인 메시지 전달 방안을 모색하며,다양한 관점을 수용함으로써 독서의 심화와 독자의 확장을 경험하였다. 이러한접근은 문학 독자 형성과 문학 교육의 새로운 방향을 제시함으로써 문학의 위기에 대응하는 하나의 가능성이 될 수 있음을 시사한다.",문학 교육; 큐레이션; 문학 큐레이션; 텍스트힙; 문학의 위기; 재맥락화; 복합양식 텍스트; 마인드맵; 리터러시; 문학 독자,장서란,국제어문,국제어문학회,,104,317,345,2025,한국어와문학,0,ART003194032
"C²기반 공유형 수업 모형의 설계와 적용: 연결을 통한 학습, 큐레이션을 통한 교수",김도헌,"본 연구는 ‘연결(connection)’과 ‘큐레이션(curation)’의 교수·학습 관점을 결합한 󰡔C²기반 공유형 수업모형󰡕을 설계하여, 예비교사의 미래 교원 역량 함양을 위한 대학교육 맥락에서 적용하고, 수업모형의 설계 및 운영원리를 정련하였다. 연구방법으로는 설계기반연구에 근거한 혼합 방법(mixed method)을 활용하였다. 사전·사후 진단결과 학생들의 연결 및 큐레이션 역량에서 유의미한 역량 향상이 있었다. 질적 연구결과로서 실행과정에서 나타난 교수·학습 특성을 ‘탐구주제 선정: T자형 사고와 자기 결정 학습’, ‘콘텐츠 검색 및 수집: 현실적이고 최신의 지식 탐구’, ‘콘텐츠 해석 활동: 정보 노드 간 상호 연결과 협력적 의미 재구성’, ‘콘텐츠 재구성 및 쇼케이스: 아이디어 융합과 지식 공유의 실천’이라는 주제로 도출하여 분석, 기술하였다. 마지막으로 󰡔C²기반 공유형 수업모형󰡕의 설계 및 운영 전략을 정련하여 제시하고, 교육적 시사점을 논의하였다.",공유형 수업; 연결주의; 디지털 큐레이션; 미래교원역량,김도헌,평생학습사회,미래원격교육연구원,21,2,136,161,2025,교육학,0,ART003204300
